Id,SalePrice
1461,115094.50685399452
1462,145245.57425915005
1463,175452.49998605988
1464,197996.32822736294
1465,209646.38311411912
1466,173929.8247698094
1467,189672.05156080413
1468,163513.86930821135
1469,195355.14811822845
1470,118697.09734678915
1471,158100.4199678767
1472,97762.9886572745
1473,92568.85151714351
1474,139308.97946046383
1475,107385.5575265297
1476,355813.3910287033
1477,253533.8340837383
1478,302936.96110254055
1479,307066.1934575753
1480,482117.509019622
1481,354241.33527639013
1482,219104.26012188863
1483,171184.24957734885
1484,165562.93372303626
1485,196062.9600795243
1486,189130.84165368276
1487,370383.932763469
1488,225687.3271861581
1489,188239.44429277242
1490,241773.8805270921
1491,192497.63533547113
1492,90237.3333291134
1493,185970.54533866319
1494,305744.57040659344
1495,297669.35375722445
1496,233250.88660126517
1497,174246.87608465477
1498,170849.26905469052
1499,164840.3070491334
1500,158231.82165228817
1501,172125.4128149753
1502,157559.25265652323
1503,302488.6353748672
1504,254726.51965568337
1505,229356.54083477196
1506,192681.46725694902
1507,235120.30282431043
1508,189953.753443203
1509,166977.55516415415
1510,142749.2578728588
1511,147512.79995513434
1512,174637.67188757122
1513,142921.46657586488
1514,145726.1093937991
1515,194129.08768831368
1516,154395.4816324163
1517,164699.64002512666
1518,132158.22080125948
1519,195965.4141595469
1520,120682.005356624
1521,122210.792885963
1522,181748.0089836477
1523,107484.7668639236
1524,124267.08575945711
1525,121576.5918897122
1526,115209.8160694078
1527,108473.19080715878
1528,140725.49021330246
1529,142303.0465991692
1530,216578.87053685484
1531,121132.97648884974
1532,105124.56969325733
1533,137845.33121144382
1534,124534.35257902328
1535,131473.26083616502
1536,107651.0142518732
1537,56824.08879689809
1538,138179.43103295864
1539,190527.3266474969
1540,87966.15955413153
1541,141972.68483945692
1542,134245.36982657792
1543,156595.22173262705
1544,94015.99605981444
1545,116146.43682992572
1546,145152.8244633514
1547,136254.80664947582
1548,144672.16193458225
1549,127813.8844301768
1550,133560.39281295417
1551,106246.40666302716
1552,135368.97502932
1553,141758.6024441771
1554,122119.98767148332
1555,158730.194204329
1556,96720.88514639184
1557,96228.74839026944
1558,100308.08141929824
1559,83973.52288650381
1560,132308.49755806557
1561,113022.99004743929
1562,131054.55321645093
1563,120996.0913734044
1564,154593.17612088934
1565,149694.81151463752
1566,244066.98814293407
1567,78008.17998072154
1568,249094.55597958452
1569,125007.52043009049
1570,140658.04624859418
1571,115282.5849384127
1572,136089.70844227084
1573,205883.38420008312
1574,108476.85255053492
1575,223982.87457949028
1576,244102.10101020813
1577,180978.5204208532
1578,151625.4248709947
1579,136778.03660112343
1580,200865.01418722412
1581,158426.27784468024
1582,136656.16502652038
1583,274923.1705659815
1584,222586.61068123457
1585,141856.79264415143
1586,71260.05542482261
1587,102564.53893249844
1588,146810.89334779367
1589,90478.95628661446
1590,129431.40443333398
1591,91450.77127397309
1592,105154.06525776016
1593,140656.53775106586
1594,135947.11994343015
1595,100936.9216692452
1596,211099.92534454982
1597,208495.45950727805
1598,223854.78124690914
1599,157656.86897689058
1600,151564.42111202865
1601,66559.70884942242
1602,107298.83974642084
1603,80789.35003965696
1604,262407.7028404508
1605,233844.32338303648
1606,165354.12343560834
1607,164129.00896647156
1608,227070.534262783
1609,179850.39888086513
1610,159279.01938356916
1611,135839.82005060173
1612,166189.12654921727
1613,159049.94185729662
1614,117104.83946673956
1615,90277.43234116957
1616,77484.63978926156
1617,91894.88465287496
1618,123656.78992705575
1619,144923.90139947622
1620,140407.86557297563
1621,134819.29896187925
1622,150972.5809794719
1623,255092.4344462641
1624,199223.95471990682
1625,113939.11545619307
1626,166415.00509925792
1627,190677.72135493584
1628,272791.61576361523
1629,188035.18542323806
1630,345024.88131259516
1631,242450.47508234062
1632,243351.85423903711
1633,183708.73454388947
1634,189950.4177425567
1635,181183.63032169425
1636,155846.9500670323
1637,204913.98592693973
1638,192222.46787799278
1639,184439.08575817698
1640,247191.0151005036
1641,181632.51661583473
1642,239301.32445774457
1643,239848.66092076863
1644,247157.00415801894
1645,217478.7067913203
1646,166691.73384153
1647,158780.85719082432
